1.0,"['6880', '7088', '10397', '25157', '5958', '10079']"
3.0,"['4026', '1121', '1120', '1118', '14513', '121', '269', '482']"
4.0,"['19815', '5114', '20']"
5.0,"['4224', '205', '430', '2889', '4155', '121', '459', '2144', '1575', '8769']"
6.0,"['22319', '16498', '28223', '16592', '7054', '226', '11111', '9989', '7593', '10620']"
7.0,"['12293', '8841', '11757', '19815', '6347', '8675', '19369', '5958', '6547', '4224']"
8.0,"['28121', '20507', '21881', '9253', '22199', '1575', '1519', '14467', '8074', '16498']"
11.0,"['149', '1535', '1689']"
12.0,"['20', '1575', '813', '121']"
13.0,"['1575', '2251', '3588', '5114', '226', '268', '227', '22535']"
14.0,"['23847', '22147', '2904', '10719', '10397', '16706', '18247', '1575', '11235', '16001']"
16.0,[]
17.0,"['2167', '6956', '2966', '20787', '356', '8516', '13601', '28121', '3783', '11981']"
18.0,"['934', '6880', '226']"
19.0,['2251']
20.0,"['8861', '2476', '226', '7054']"
21.0,"['11887', '14741', '22147', '19815', '11741', '22789', '13601', '12531', '21939', '4081']"
22.0,"['7054', '6707', '11111', '6045']"
23.0,"['902', '897', '900', '986', '898', '901', '894', '899', '2001', '8074']"
24.0,"['10620', '6547', '7791', '2167']"
25.0,"['14741', '15583', '11597', '10080', '6547', '11617', '9253', '8841', '5081', '11111']"
26.0,"['17247', '17895', '11617', '16498', '11757', '19815', '16706', '3455', '6547', '8769']"
27.0,"['7088', '5081', '13161', '15583', '12293', '17895', '19163', '8074', '18897', '20785']"
28.0,"['20507', '19815', '22319', '11111']"
29.0,"['894', '502', '895', '20']"
30.0,[]
31.0,"['2966', '5341', '7311', '18897', '356', '8074', '11617', '22199', '16498', '15451']"
32.0,"['1118', '512', '513', '528', '1117', '164', '121', '199', '430', '1943']"
33.0,"['11061', '5114', '6702', '10087', '11741', '20']"
34.0,"['985', '317', '986', '3588', '20', '1575']"
35.0,"['22319', '10087', '2904', '5114', '934']"
37.0,"['23847', '14813', '9989', '9756', '4181', '10719', '9253', '6547', '18897', '13655']"
38.0,"['30276', '9253', '28223', '31964', '22199', '269', '10793', '31043', '22319', '6547']"
39.0,"['14813', '11577', '9289', '22535', '31043', '20507', '12355', '25013', '24765', '31637']"
40.0,['3931']
41.0,"['9936', '4063', '1840', '12549', '10793', '28121', '9181', '13663', '4214', '4654']"
43.0,"['31637', '18277', '3712', '30296', '10620', '16498', '226', '2787', '269', '1535']"
44.0,"['20507', '8074', '31043', '889', '777', '11741', '2593', '2025', '1535', '18679']"
45.0,"['20507', '3470', '14713', '11013', '1562', '14227']"
46.0,"['14075', '6045', '14513', '22789']"
47.0,"['5262', '74']"
48.0,"['7817', '226', '849', '4181', '3782', '5680']"
50.0,"['223', '813', '896', '9515', '1564', '898', '897', '895', '894', '899']"
51.0,"['26', '1210', '416', '513', '1698', '32', '7724', '1033', '934', '9760']"
52.0,"['10719', '1195', '7054', '14741', '6213', '4654', '849', '2025', '8769', '1535']"
53.0,['4181']
55.0,"['19815', '2251', '1575', '2904', '12365', '22535', '2001', '227', '6594', '1535']"
56.0,"['11617', '22319', '20', '21881', '223']"
57.0,[]
61.0,['4814']
62.0,"['1535', '5114', '30276', '1575', '9253', '23283', '11111', '226']"
64.0,"['6547', '10020', '8769', '4654', '10495', '12403', '4472']"
65.0,"['849', '6746', '7059']"
66.0,"['3588', '6707', '861', '121', '4898', '853', '1575', '9919', '226']"
68.0,"['22319', '17265', '5114', '10087', '22199', '14513', '31964', '6702', '223', '10863']"
71.0,"['5114', '20507', '15809', '199', '5530', '6746', '16498', '30276', '4155', '11633']"
73.0,"['21855', '20785', '17265', '2966', '13759', '22319', '16498', '28927', '18153', '2167']"
75.0,"['20', '1575', '430', '6', '5114', '164', '30', '121', '33', '166']"
77.0,"['23289', '28223', '14227', '22319', '14345', '10620', '15809', '5680', '7054']"
79.0,"['10162', '2034', '199', '849', '1535', '433', '1004']"
80.0,"['4181', '482', '899', '905', '6547', '2167', '849', '6213', '5680', '6512']"
81.0,"['164', '10087', '5081', '3588', '8074', '2904', '8425', '9989', '1535', '18679']"
82.0,['9969']
84.0,[]
85.0,['21881']
87.0,"['849', '16732', '19815', '6547', '16417', '5680', '15225', '6956', '199', '11111']"
88.0,"['1119', '1117']"
89.0,['1364']
90.0,"['29803', '8841', '6880', '936', '19815', '15451', '3588', '121', '11757', '5114']"
93.0,"['10620', '7088', '6547', '15689', '9181', '8675', '8407', '5081', '4224', '14513']"
94.0,['4224']
95.0,"['2001', '6880', '1575', '2904', '13601', '2966', '17265', '11577', '21881', '1535']"
96.0,[]
97.0,"['22199', '7088', '16498', '6880', '23233', '19163', '15583', '25157', '2025', '22319']"
98.0,"['23289', '6347', '1535', '11111', '11013', '6045', '16417', '5262', '20', '20583']"
99.0,"['32', '934']"
102.0,"['9919', '1535', '10087', '121', '1210', '5630', '18679', '20507', '12445', '13759']"
103.0,"['849', '4224', '2001', '9253']"
104.0,"['10793', '15809', '5114', '356', '14741', '2993', '1195', '6880']"
105.0,"['226', '934', '10620', '11757', '19815', '11617', '10790', '16498', '1575']"
106.0,"['23273', '16067', '13601', '22535', '25835', '22297', '4181', '22789', '4224', '28223']"
107.0,"['3470', '2167', '4898', '3731']"
108.0,"['269', '4186', '23755', '22319', '2904', '8841', '30276', '16498', '5081', '9253']"
109.0,"['1818', '1575', '2904', '3784', '269', '2759', '3588', '30', '6573']"
110.0,"['22199', '21843', '19815', '22535', '30276', '17265', '11061', '33', '2904']"
111.0,['31']
112.0,"['9656', '2034', '4722', '4898', '4181', '4752']"
116.0,"['14289', '22319', '11757', '853']"
117.0,"['226', '8074', '121', '2904']"
118.0,"['934', '3572', '66', '1915', '1852', '71', '134', '4059', '77', '2167']"
120.0,"['10578', '14967', '5081', '1195', '12189', '8630', '4654', '6702', '14813', '10719']"
121.0,"['10620', '18897', '14741', '20507', '14813', '11617', '4224', '15117', '18679', '19815']"
122.0,"['2993', '3455', '1722', '79', '4999', '8424']"
123.0,"['3092', '27899', '14227', '121', '6045', '5114', '16528']"
124.0,"['2904', '16498', '813', '121', '11771', '6702']"
125.0,"['3782', '4282', '1575', '2926', '2593', '6045', '2904', '3731', '101', '4477']"
126.0,"['6205', '6880', '11499', '9919', '11597', '3588', '4224', '13759', '9253', '20']"
127.0,"['4224', '5114']"
128.0,"['523', '2890']"
129.0,"['16498', '1559', '9513', '121', '889', '6702']"
130.0,"['15689', '11597', '5081', '15225', '13759', '14813', '8769', '15315', '17895', '19815']"
132.0,['10863']
133.0,"['22199', '13601', '1535', '10620', '6880']"
134.0,"['20', '2472', '936', '1686']"
135.0,"['14741', '1210', '14289', '17895', '3455', '15225', '8525', '10080', '8769', '8407']"
139.0,"['1571', '2904', '226', '6547', '270', '121', '10087', '1689', '5630']"
140.0,"['28223', '29803', '31043', '21339', '1575', '30276', '6547', '11843', '23283', '11111']"
141.0,"['21881', '20787', '28171', '22729', '6547', '27655', '11617', '813', '28999', '10620']"
142.0,[]
143.0,"['2167', '9989', '9756']"
144.0,[]
145.0,"['4835', '16894', '269', '11617', '5114', '10719', '18277', '23289', '10396', '12859']"
146.0,"['2201', '1120', '1121', '1119', '898', '900', '1117', '1118', '4214', '2993']"
147.0,"['9919', '431', '6746', '16894', '11771', '14227', '6956', '523', '853']"
148.0,"['28171', '30276', '20583', '1482', '10793', '121']"
149.0,[]
151.0,['1535']
152.0,"['1535', '164', '18679', '14813', '30276', '10087', '10800', '31043', '227', '477']"
153.0,"['6880', '7593', '7088', '3712', '1575', '9919', '4835', '2025', '1840', '355']"
154.0,"['3470', '4722']"
155.0,"['13601', '13659', '31859', '28497', '29803', '4224', '6547', '6347', '28121', '31240']"
156.0,"['10719', '6573', '7338', '17074', '2904', '9989', '13601', '2001', '3782', '10087']"
157.0,[]
158.0,"['5114', '22319', '23283', '467', '790', '121', '1818', '270', '7724', '150']"
159.0,"['249', '6045', '6702', '20507', '762', '154', '1686', '2889', '4835', '7054']"
160.0,"['226', '64', '1575', '164', '2605', '437', '227', '2593']"
163.0,"['14813', '1195', '4181', '28171', '1575', '15583', '356', '1482', '11757', '14967']"
164.0,"['269', '9919', '3588', '6880', '28497', '6702']"
165.0,"['849', '72', '121', '6746', '3588', '30', '9989', '16498', '205', '20']"
166.0,"['22319', '23321', '25397', '20853', '10793', '28121', '3407', '22535', '11759', '3588']"
167.0,"['9989', '9756', '199', '1689', '10165', '323', '376', '164', '227', '30']"
168.0,"['4898', '6547', '4814']"
169.0,"['30276', '30503', '27899', '20507', '1535', '20', '21881', '28223', '22199', '31859']"
170.0,"['19815', '17265', '6547', '5114', '11757', '21881', '9253', '11111', '849', '6702']"
171.0,"['2904', '13601', '16894', '22199', '11757', '27899', '269', '30276', '20', '30503']"
172.0,['9989']
173.0,"['226', '9989', '1535', '30', '11741']"
175.0,"['523', '9756', '849', '47', '202']"
177.0,"['8074', '9919', '18897', '226', '14227', '10793', '5205', '10163', '20785', '14467']"
178.0,"['2969', '54', '30', '2904']"
179.0,"['232', '199', '164']"
180.0,['6707']
181.0,"['7054', '13759', '14813', '14741', '18897', '10080', '16706', '21995', '19221', '19163']"
182.0,"['934', '6880', '17729', '15809', '22319', '18897', '8841', '14813', '1535', '6682']"
183.0,"['4181', '256', '433', '5680', '801', '227', '30', '1015', '467', '2924']"
184.0,"['19815', '226']"
185.0,"['68', '6045', '20', '5530', '3470', '14713', '3655', '431', '9989']"
186.0,"['7054', '23673', '2167']"
187.0,['16498']
188.0,"['2889', '6702', '4835', '1686', '2144', '16498', '813', '2472', '901', '11061']"
189.0,"['6880', '13601', '12189', '5680', '9919', '14199', '12445', '6547', '11887', '11759']"
190.0,"['900', '904', '442', '8246', '899', '5114', '223']"
191.0,"['14345', '813', '22535', '14813', '849', '6746', '20899', '14719', '8525', '11633']"
192.0,"['1562', '11013', '1195', '4224', '9656', '3470', '6045', '853']"
194.0,"['11617', '9919', '121', '4181']"
196.0,"['431', '164']"
198.0,"['2904', '4654', '18277', '11757', '16592']"
200.0,"['43', '5114']"
201.0,[]
202.0,"['10620', '11771', '20583', '10793', '17265', '5081', '28171', '7674', '6547', '10030']"
203.0,"['3470', '3731', '11771', '4224']"
204.0,[]
207.0,[]
208.0,"['2904', '1575', '2025', '1535', '6573', '6746', '20', '227']"
209.0,"['2904', '28223', '10087', '2001']"
