1.0,"[30419, 9806, 20673, 1021, 11433, 873, 1005, 12795, 32930, 5833]"
3.0,"[2713, 6779, 840, 450, 15911, 15699, 469, 32468, 30321, 3230]"
4.0,"[1569, 9829, 29948, 526, 9356, 288, 811, 2492, 32583, 30039]"
5.0,"[5624, 8857, 2615, 2948, 5883, 28387, 16910, 2385, 3227, 25159]"
6.0,"[32601, 23225, 23847, 2966, 2449, 11813, 2498, 7230, 150, 4054]"
7.0,"[2044, 32147, 9007, 6581, 2216, 30845, 9837, 21575, 1251, 2060]"
8.0,"[6730, 25083, 34309, 2361, 33485, 19797, 26335, 19783, 26305, 31116]"
11.0,"[652, 6864, 1683, 437, 2752, 7058, 516, 5420, 384, 9201]"
12.0,"[28625, 173, 10824, 8190, 10850, 1524, 14075, 18343, 31374, 1299]"
13.0,"[23985, 7174, 10191, 33691, 27387, 15139, 1158, 2691, 31540, 1471]"
14.0,"[343, 29089, 4940, 1808, 2025, 33558, 16067, 19291, 913, 3228]"
16.0,"[384, 2952, 10629, 2734, 6735, 32281, 18729, 4451, 2966, 22961]"
17.0,"[96, 11933, 4827, 28223, 10799, 9910, 6645, 25061, 28035, 8898]"
18.0,"[4811, 6372, 1878, 20651, 25341, 10479, 914, 32015, 1883, 4021]"
19.0,"[3306, 32065, 4467, 1081, 917, 9737, 634, 25883, 5926, 1209]"
20.0,"[1618, 3071, 34009, 27419, 33964, 1645, 989, 6217, 155, 30365]"
21.0,"[4884, 308, 3468, 2683, 4199, 7472, 3268, 12565, 8538, 3438]"
22.0,"[20233, 29739, 15927, 23209, 940, 32105, 29831, 19951, 16870, 913]"
23.0,"[6372, 406, 32175, 10516, 13411, 12191, 845, 870, 24029, 3256]"
24.0,"[6336, 32380, 5925, 8503, 3513, 7041, 2731, 130, 18841, 31736]"
25.0,"[16866, 33378, 936, 33605, 2385, 33253, 4744, 6653, 33735, 7230]"
26.0,"[840, 475, 29733, 2416, 7844, 19959, 34028, 31440, 148, 1426]"
